name,method,method_link
HubSpot,Find contact,https://api.hubapi.com/crm/v3/objects/contacts/search
HubSpot,Create new contact,https://api.hubapi.com/crm/v3/objects/contacts
HubSpot,TEST,https://api.hubapi.com/crm/v3/properties/contacts
Test files (wow),add file,https://www.googleapis.com/upload/drive/v3/files?uploadType=media
Test files (wow),getFile,https://www.googleapis.com/drive/v3/files/{{data.fileid}}/
XML feed,feed,https://www.sunnyflowerdelivery.com/xmlfeed/feed.xml
MailChimp,List members info,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members
MailChimp,List members info1231,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members
MailChimp,,
MailChimp,,
MailChimp,,
MailChimp,,
MailChimp,Add subscriber to the list,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members/
MailChimp,Add a tag to a subscriber,{{auth.domain}}/3.0/lists/{{credentialWizard.listIdWizWthCustom}}/members/
MailChimp,Remove tag from subscriber,{{auth.domain}}/3.0/lists/{{credentialWizard.listIdWizWthCustom}}/members/
MailChimp,List members info,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members
MailChimp,List members info1231,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members
MailChimp,,
MailChimp,,
MailChimp,,
MailChimp,,
MailChimp,Add subscriber to the list,{{auth.domain}}/3.0/lists/{{credentialWizard.listId}}/members/
MailChimp,Add a tag to a subscriber,{{auth.domain}}/3.0/lists/{{credentialWizard.listIdWizWthCustom}}/members/
MailChimp,Remove tag from subscriber,{{auth.domain}}/3.0/lists/{{credentialWizard.listIdWizWthCustom}}/members/
MindBox,Uploaded audience,"https://{{credential.domain}}/v3/operations/sync?operation={{data.operation}}
https://{{credential.domain}}/v3/operations/sync?operation={{data.operation}}
{{data.exportUrl}}"
MindBox,Create and subscribe to newsletters,https://{{credential.domain}}/v3/operations/async?operation=media.LeadAdsSubscrition
MindBox,Create or update a client,https://{{credential.domain}}/v3/operations/async?operation={{data.operation}}
MindBox,Create or update an order,https://{{credential.domain}}/v3/operations/async?operation={{data.operation}}
MindBox,Create or update a product,https://{{credential.domain}}/v3/operations/async?operation={{data.operation}}
Selzy ,,
Selzy ,,
Selzy ,Download contact list,"https://api.selzy.com/en/api/async/exportContacts?platform=albato
https://api.selzy.com/en/async/getTaskResult?platform=albato
{{data.file}}?platform=albato"
Selzy ,,
Selzy ,,
Selzy ,Add a new contact,https://api.selzy.com/en/api/subscribe?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Add many contacts,https://api.selzy.com/en/api/importContacts?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Sending a single email (transactional),https://api.selzy.com/en/api/sendEmail
Selzy ,,
Selzy ,,
Selzy ,Sending a single SMS (transactional),https://api.selzy.com/en/api/sendSms
Selzy ,,
Selzy ,,
Selzy ,Create an Email newsletter,https://api.selzy.com/en/api/createEmailMessage?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Send a previously created Email newsletter,https://api.selzy.com/en/api/createCampaign?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Create an SMS newsletter,https://api.selzy.com/en/api/createSmsMessage
Selzy ,,
Selzy ,,
Selzy ,Send a previously created SMS newsletter,https://api.selzy.com/en/api/createCampaign?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Exclude a contact from one or more lists,https://api.selzy.com/en/api/exclude?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Unsubscribe the recipient from the mailing list,https://api.selzy.com/en/api/unsubscribe?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Get contact information by Email,https://api.selzy.com/en/api/getContact?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Create a new contact list,https://api.selzy.com/en/api/createList?platform=albato
Selzy ,,
Selzy ,,
Selzy ,Change list properties,https://api.selzy.com/en/api/updateList
Selzy ,,
Selzy ,,
Selzy ,Delete Contact List,https://api.selzy.com/en/api/deleteList
Selzy ,Get email status,https://api.selzy.com/en/api/checkEmail
ForClasses,Student Search,https://api.moyklass.com/v1/company/users
ForClasses,New application (entry) to the group,https://api.moyklass.com/v1/company/joins
ForClasses,Search for a request (entry) to a group,https://api.moyklass.com/v1/company/joins
ForClasses,Get a student by ID,https://api.moyklass.com/v1/company/users/{{data.id}}
ForClasses,Get an application (entry) by ID,https://api.moyklass.com/v1/company/joins/{{data.idRequest}}
ForClasses,Add a student to the class,
ForClasses,Changing a Student,https://api.moyklass.com/v1/company/users/{{data.id}}
ForClasses,Add a student to the class,https://app.moyklass.com/api/v1/class/join
ForClasses,New student,https://api.moyklass.com/v1/company/users
CoMagic,Call,https://dataapi.comagic.ru/v2.0
CoMagic,Set Sale tag,https://dataapi.comagic.ru/v2.0
CoMagic,Set tag,https://dataapi.comagic.ru/v2.0
CoMagic,Unset tag,https://dataapi.comagic.ru/v2.0
CoMagic,New offline message,https://dataapi.comagic.ru/v2.0
CoMagic,New call,https://dataapi.comagic.ru/v2.0
UIS,Call,https://dataapi.uiscom.ru/v2.0
UIS,Set Sale tag,https://dataapi.uiscom.ru/v2.0
UIS,Set tag,https://dataapi.uiscom.ru/v2.0
UIS,Unset tag,https://dataapi.uiscom.ru/v2.0
UIS,New offline message,https://dataapi.uiscom.ru/v2.0
UIS,New call,https://dataapi.uiscom.ru/v2.0
CallGear,Call,https://dataapi.callgear.ru/v2.0
CallGear,Set Sale tag,https://dataapi.callgear.ru/v2.0
CallGear,Set tag,https://dataapi.callgear.ru/v2.0
CallGear,Unset tag,https://dataapi.callgear.ru/v2.0
CallGear,New offline message,https://dataapi.callgear.ru/v2.0
CallGear,New call,https://dataapi.callgear.ru/v2.0
test_service,test,https://api.randomdatatools.ru/
copyCustomFields,test,sfdsdf
ClickUp (actual),test,https://api.clickup.com/api/v2/list/{{credentialWizard.listWiz}}/task
ClickUp (actual),test123123321,https://webhook.site/21713dae-770e-4a21-af67-31397258cc9f
ClickUp (actual),уафывааываыфафвыфывафыавфыав,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,,
Slack,Set a conversation topic in a public channel,https://slack.com/api/conversations.setTopic
Slack,Invite a user to a public channel,https://slack.com/api/conversations.invite
Slack,Plans to send a message to a public Slack channel,https://slack.com/api/chat.scheduleMessage
Slack,Find a user by Email,https://slack.com/api/users.lookupByEmail
Slack,Find a user by ID,https://slack.com/api/users.profile.get
Slack,Send a message to a private channel,https://slack.com/api/chat.postMessage
Slack,Schedule a message to be sent to a private channel,https://slack.com/api/chat.scheduleMessage
Slack,Send a private message to the user in a private channel,https://slack.com/api/chat.postEphemeral
Slack,Send a message to a public channel,https://slack.com/api/chat.postMessage
Slack,Set a conversation topic in a private Slack channel,https://slack.com/api/conversations.setTopic
Slack,Send a private message to a user in a public channel,https://slack.com/api/chat.postEphemeral
Slack,Send a private message to a user,https://slack.com/api/chat.postMessage
Microsoft Office 365,Create new contact,https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365,New messages in email,https://graph.microsoft.com/v1.0/me/messages
Microsoft Office 365,Update event in calendar,https://graph.microsoft.com/v1.0/me/events
Microsoft Office 365,Create event in calendar,https://graph.microsoft.com/v1.0/me/events
Microsoft Office 365,Create contact,https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365,Create draft email,https://graph.microsoft.com/v1.0/me/messages
Microsoft Office 365,Send email,https://graph.microsoft.com/v1.0/me/messages/{{data.id}}/send
Microsoft Office 365,Updates a contact,https://graph.microsoft.com/v1.0/me/contacts/{{data.id}}
Microsoft Office 365,Find a contact by email address(or ID),https://graph.microsoft.com/v1.0/me/contacts
Microsoft Office 365,Create Event,https://graph.microsoft.com/v1.0/me/calendars/{{data.id}}/events
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
HubSpot,,
